TW,D2024LelandFarmersCo,D2024StewardGrainCo,D2024PremierCooperativeInc,D2024TheAndersons,D2024UrsaFarmersCoop,D2024HeritageCoop,D2024ADM
70,0,0,0,0,0,0,0
69.9,0,0,0,0,0,0,0
69.8,0,0,0,0,0,0,0
69.7,0,0,0,0,0,0,0
69.6,0,0,0,0,0,0,0
69.5,0,0,0,0,0,0,0
69.4,0,0,0,0,0,0,0
69.3,0,0,0,0,0,0,0
69.2,0,0,0,0,0,0,0
69.1,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0
68.9,0,0,0,0,0,0,0
68.8,0,0,0,0,0,0,0
68.7,0,0,0,0,0,0,0
68.6,0,0,0,0,0,0,0
68.5,0,0,0,0,0,0,0
68.4,0,0,0,0,0,0,0
68.3,0,0,0,0,0,0,0
68.2,0,0,0,0,0,0,0
68.1,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
67.9,0,0,0,0,0,0,0
67.8,0,0,0,0,0,0,0
67.7,0,0,0,0,0,0,0
67.6,0,0,0,0,0,0,0
67.5,0,0,0,0,0,0,0
67.4,0,0,0,0,0,0,0
67.3,0,0,0,0,0,0,0
67.2,0,0,0,0,0,0,0
67.1,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
66.9,0,0,0,0,0,0,0
66.8,0,0,0,0,0,0,0
66.7,0,0,0,0,0,0,0
66.6,0,0,0,0,0,0,0
66.5,0,0,0,0,0,0,0
66.4,0,0,0,0,0,0,0
66.3,0,0,0,0,0,0,0
66.2,0,0,0,0,0,0,0
66.1,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0
65.9,0,0,0,0,0,0,0
65.8,0,0,0,0,0,0,0
65.7,0,0,0,0,0,0,0
65.6,0,0,0,0,0,0,0
65.5,0,0,0,0,0,0,0
65.4,0,0,0,0,0,0,0
65.3,0,0,0,0,0,0,0
65.2,0,0,0,0,0,0,0
65.1,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
64.9,0,0,0,0,0,0,0
64.8,0,0,0,0,0,0,0
64.7,0,0,0,0,0,0,0
64.6,0,0,0,0,0,0,0
64.5,0,0,0,0,0,0,0
64.4,0,0,0,0,0,0,0
64.3,0,0,0,0,0,0,0
64.2,0,0,0,0,0,0,0
64.1,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
63.9,0,0,0,0,0,0,0
63.8,0,0,0,0,0,0,0
63.7,0,0,0,0,0,0,0
63.6,0,0,0,0,0,0,0
63.5,0,0,0,0,0,0,0
63.4,0,0,0,0,0,0,0
63.3,0,0,0,0,0,0,0
63.2,0,0,0,0,0,0,0
63.1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0
62.9,0,0,0,0,0,0,0
62.8,0,0,0,0,0,0,0
62.7,0,0,0,0,0,0,0
62.6,0,0,0,0,0,0,0
62.5,0,0,0,0,0,0,0
62.4,0,0,0,0,0,0,0
62.3,0,0,0,0,0,0,0
62.2,0,0,0,0,0,0,0
62.1,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
61.9,0,0,0,0,0,0,0
61.8,0,0,0,0,0,0,0
61.7,0,0,0,0,0,0,0
61.6,0,0,0,0,0,0,0
61.5,0,0,0,0,0,0,0
61.4,0,0,0,0,0,0,0
61.3,0,0,0,0,0,0,0
61.2,0,0,0,0,0,0,0
61.1,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
60.9,0,0,0,0,0,0,0
60.8,0,0,0,0,0,0,0
60.7,0,0,0,0,0,0,0
60.6,0,0,0,0,0,0,0
60.5,0,0,0,0,0,0,0
60.4,0,0,0,0,0,0,0
60.3,0,0,0,0,0,0,0
60.2,0,0,0,0,0,0,0
60.1,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
59.9,0,0,0,0,0,0,0
59.8,0,0,0,0,0,0,0
59.7,0,0,0,0,0,0,0
59.6,0,0,0,0,0,0,0
59.5,0,0,0,0,0,0,0
59.4,0,0,0,0,0,0,0
59.3,0,0,0,0,0,0,0
59.2,0,0,0,0,0,0,0
59.1,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
58.9,0,0,0,0,0,0,0
58.8,0,0,0,0,0,0,0
58.7,0,0,0,0,0,0,0
58.6,0,0,0,0,0,0,0
58.5,0,0,0,0,0,0,0
58.4,0,0,0,0,0,0,0
58.3,0,0,0,0,0,0,0
58.2,0,0,0,0,0,0,0
58.1,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
57.9,-0.1,-0.04,-0.02,-0.05,-0.1,-0.03,-0.04
57.8,-0.1,-0.04,-0.02,-0.05,-0.1,-0.03,-0.04
57.7,-0.1,-0.04,-0.02,-0.05,-0.1,-0.03,-0.04
57.6,-0.1,-0.04,-0.02,-0.05,-0.1,-0.03,-0.04
57.5,-0.1,-0.04,-0.02,-0.05,-0.1,-0.03,-0.04
57.4,-0.2,-0.08,-0.04,-0.1,-0.2,-0.06,-0.08
57.3,-0.2,-0.08,-0.04,-0.1,-0.2,-0.06,-0.08
57.2,-0.2,-0.08,-0.04,-0.1,-0.2,-0.06,-0.08
57.1,-0.2,-0.08,-0.04,-0.1,-0.2,-0.06,-0.08
57,-0.2,-0.08,-0.04,-0.1,-0.2,-0.06,-0.08
56.9,-0.3,-0.12,-0.06,-0.15,-0.3,-0.09,-0.12
56.8,-0.3,-0.12,-0.06,-0.15,-0.3,-0.09,-0.12
56.7,-0.3,-0.12,-0.06,-0.15,-0.3,-0.09,-0.12
56.6,-0.3,-0.12,-0.06,-0.15,-0.3,-0.09,-0.12
56.5,-0.3,-0.12,-0.06,-0.15,-0.3,-0.09,-0.12
56.4,-0.4,-0.16,-0.08,-0.2,-0.4,-0.12,-0.16
56.3,-0.4,-0.16,-0.08,-0.2,-0.4,-0.12,-0.16
56.2,-0.4,-0.16,-0.08,-0.2,-0.4,-0.12,-0.16
56.1,-0.4,-0.16,-0.08,-0.2,-0.4,-0.12,-0.16
56,-0.4,-0.16,-0.08,-0.2,-0.4,-0.12,-0.16
55.9,-0.5,-0.2,-0.14,-0.3,-0.5,-0.15,-0.2
55.8,-0.5,-0.2,-0.14,-0.3,-0.5,-0.15,-0.2
55.7,-0.5,-0.2,-0.14,-0.3,-0.5,-0.15,-0.2
55.6,-0.5,-0.2,-0.14,-0.3,-0.5,-0.15,-0.2
55.5,-0.5,-0.2,-0.14,-0.3,-0.5,-0.15,-0.2
55.4,-0.6,-0.25,-0.24,-0.4,-0.6,-0.18,-0.24
55.3,-0.6,-0.25,-0.24,-0.4,-0.6,-0.18,-0.24
55.2,-0.6,-0.25,-0.24,-0.4,-0.6,-0.18,-0.24
55.1,-0.6,-0.25,-0.24,-0.4,-0.6,-0.18,-0.24
55,-0.6,-0.25,-0.24,-0.4,-0.6,-0.18,-0.24
54.9,-0.7,-0.3,-99,-0.5,-0.7,-0.22,-0.32
54.8,-0.7,-0.3,-99,-0.5,-0.7,-0.22,-0.32
54.7,-0.7,-0.3,-99,-0.5,-0.7,-0.22,-0.32
54.6,-0.7,-0.3,-99,-0.5,-0.7,-0.22,-0.32
54.5,-0.7,-0.3,-99,-0.5,-0.7,-0.22,-0.32
54.4,-0.8,-0.35,-99,-0.6,-0.8,-0.26,-0.4
54.3,-0.8,-0.35,-99,-0.6,-0.8,-0.26,-0.4
54.2,-0.8,-0.35,-99,-0.6,-0.8,-0.26,-0.4
54.1,-0.8,-0.35,-99,-0.6,-0.8,-0.26,-0.4
54,-0.8,-0.35,-99,-0.6,-0.8,-0.26,-0.4
53.9,-0.9,-0.4,-99,-0.8,-0.9,-0.34,-0.48
53.8,-0.9,-0.4,-99,-0.8,-0.9,-0.34,-0.48
53.7,-0.9,-0.4,-99,-0.8,-0.9,-0.34,-0.48
53.6,-0.9,-0.4,-99,-0.8,-0.9,-0.34,-0.48
53.5,-0.9,-0.4,-99,-0.8,-0.9,-0.34,-0.48
53.4,-1,-0.45,-99,-1,-1,-0.42,-0.56
53.3,-1,-0.45,-99,-1,-1,-0.42,-0.56
53.2,-1,-0.45,-99,-1,-1,-0.42,-0.56
53.1,-1,-0.45,-99,-1,-1,-0.42,-0.56
53,-1,-0.45,-99,-1,-1,-0.42,-0.56
52.9,-1.1,-0.5,-99,-99,-1.1,-0.5,-99
